,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
54,"Otro Trago - Remix",Sech,1230707,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
55,Camelot,"NLE Choppa",1216165,https://open.spotify.com/track/4sWuPniHClkInYAnzXAYUF
56,"Wieso tust Du dir das an?","Apache 207",1176969,https://open.spotify.com/track/4zj2FEHN6Hw6a5vqN70PvL
57,"7 rings","Ariana Grande",1175600,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
58,Happier,Marshmello,1143322,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
59,"Good Thing (with Kehlani)",Zedd,1108018,https://open.spotify.com/track/5aUSEPNd3m5xliFK4pn5mU
60,Indeciso,Reik,1101210,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
61,"Bohemian Rhapsody - Remastered 2011",Queen,1099768,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
62,"Post Malone (feat. RANI)","Sam Feldt",1099376,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL
63,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,1088017,https://open.spotify.com/track/322tcqPhma7F6hfCeLisx0
64,"Qué Pena",Maluma,1076354,https://open.spotify.com/track/5099x34vBakWpGkHourFxP
65,"Con Altura",ROSALÍA,1066289,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
66,Motivation,Normani,1064449,https://open.spotify.com/track/0rIAC4PXANcKmitJfoqmVm
67,"QUE PRETENDES","J Balvin",1062363,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
68,Roller,"Apache 207",1061869,https://open.spotify.com/track/5dhQeuLGmlhfwlI6BWfSpo
69,"Nice To Meet Ya","Niall Horan",1059981,https://open.spotify.com/track/3cphb8kdsjElYR7r5icK3H
70,"The London (feat. J. Cole & Travis Scott)","Young Thug",1055974,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
71,"Que Calor (feat. J Balvin & El Alfa)","Major Lazer",1050274,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3
72,"RITMO (Bad Boys For Life)","The Black Eyed Peas",1049282,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
73,"11 PM",Maluma,1048440,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
74,Wow.,"Post Malone",1047986,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
75,"lovely (with Khalid)","Billie Eilish",1042003,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
76,"Enemies (feat. DaBaby)","Post Malone",1037831,https://open.spotify.com/track/0Xek5rqai2jcOWCYWJfVCF
77,BOP,DaBaby,1029622,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
